Pennsylvania,tiki,0.003994738
Pennsylvania,cocktails,0.002184622
Pennsylvania,tropical,0.001435609
Pennsylvania,pork,0.00112352
Pennsylvania,lime,0.000686596
Pennsylvania,pineapple,0.000624178
Arizona,fish,0.001555776
Arizona,hula,0.001225189
Arizona,katsu,0.001037826
Arizona,macaroni,0.000923779
Arizona,coconut,0.000909116
Arizona,spicy,0.000683944
Arizona,pork,0.000622026
Arizona,bbq,0.000617044
Arizona,ribs,0.000614224
Arizona,cream,0.000511582
Arizona,crab,0.00049366
Arizona,cabbage,0.00040731
Arizona,seaweed,0.000399164
Arizona,ceviche,0.000397452
Arizona,cake,0.000395905
Arizona,ice,0.000390012
Wisconsin,fish,0.003444945
Wisconsin,sparkling,0.0022816
Wisconsin,sauces,0.002000291
Wisconsin,salmon,0.0018336
Wisconsin,albacore,0.001526371
Wisconsin,ice,0.001500218
Wisconsin,garlic,0.001055709
Wisconsin,aioli,0.000889018
Wisconsin,spicy,0.000889018
Wisconsin,potato,0.000889018
Wisconsin,seafood,0.000722327
Wisconsin,avocado,0.0006112
North Carolina,gelato,0.020467345
North Carolina,lamb,0.004308915
North Carolina,panini,0.003662578
North Carolina,gyro,0.003447132
North Carolina,pita,0.00301624
North Carolina,lemon,0.000682075
North Carolina,bbq,0.000629608
North Carolina,aloha,0.000524673
North Carolina,beef,0.000524673
Nevada,katsu,0.002121974
Nevada,pancakes,0.00088071
Nevada,kalbi,0.000856044
Nevada,adobo,0.000831526
Nevada,ribs,0.000780596
Nevada,macaroni,0.000726187
Nevada,pork,0.000661376
Nevada,bbq,0.000586587
Nevada,beef,0.000552045
Nevada,tonkatsu,0.000546543
Nevada,kalua,0.000546272
Nevada,fish,0.000494368
Nevada,eggs,0.000480981
Nevada,aloha,0.000472819
Nevada,omelette,0.000439837
Nevada,steak,0.000436728
_,ahi,0.000404685
